,,,American Indian Alaskan Native,American Indian Alaskan Native,Asian or Pacific Islander,Asian or Pacific Islander,Black or African American,Black or African American,White,White,Other,Other,Missing,Missing,Suppressed,Suppressed
Index,Week of,County,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths
990,11/29/2020,Transylvania,,,,,,,48,,6,,9,,,
991,11/29/2020,Tyrrell,,,,,,,9,,,,2,,1,
992,11/29/2020,Union,10,,8,,76,,625,5,82,,176,,,
993,11/29/2020,Vance,,,,,84,,,,7,,25,,102,2
994,11/29/2020,Wake,9,,85,1,708,3,"1,615",10,500,5,459,9,,
995,11/29/2020,Warren,,,,,23,,,,5,,122,,25,1
996,11/29/2020,Washington,,,,,10,,,,1,,3,,9,1
997,11/29/2020,Watauga,,,,,,,116,,6,,39,,3,
998,11/29/2020,Wayne,2,,2,,93,6,193,6,29,,132,,,
999,11/29/2020,Wilkes,,,,,,,210,,12,,30,,8,2
"1,000",11/29/2020,Wilson,,,1,,107,2,214,6,23,,35,,,
"1,001",11/29/2020,Yadkin,,,,,,,132,4,18,,48,,3,
"1,002",11/29/2020,Yancey,,,,,,,68,7,1,,46,,,
"1,003",11/22/2020,Alamance,1,,5,,86,1,240,1,62,1,106,,,
"1,004",11/22/2020,Alexander,,,,,,,113,,3,,33,,2,1
"1,005",11/22/2020,Alleghany,,,,,,,10,,2,,2,,,
"1,006",11/22/2020,Anson,,,,,22,,,,2,,8,,38,
"1,007",11/22/2020,Ashe,,,,,,,59,4,3,1,16,,,
"1,008",11/22/2020,Avery,,,,,,,80,6,1,,7,,2,
"1,009",11/22/2020,Beaufort,,,,,,,65,,4,,11,,14,
"1,010",11/22/2020,Bertie,,,,,2,,,,10,,5,,30,1
"1,011",11/22/2020,Bladen,,,,,,,29,2,16,2,6,,22,
"1,012",11/22/2020,Brunswick,1,,,,12,,200,,8,,11,,,1
"1,013",11/22/2020,Buncombe,2,,6,,38,,288,,16,,66,,,2
"1,014",11/22/2020,Burke,3,,10,,14,,245,,11,,76,,,2
"1,015",11/22/2020,Cabarrus,5,,9,,73,1,313,2,86,,102,,,
"1,016",11/22/2020,Caldwell,,,2,,11,,219,,8,,45,,,2
"1,017",11/22/2020,Camden,,,,,,,12,,,,2,,1,
"1,018",11/22/2020,Carteret,,,,,,,136,,3,,11,,8,1
"1,019",11/22/2020,Caswell,,,,,,,30,,6,,6,,5,
"1,020",11/22/2020,Catawba,2,,23,,20,3,398,10,16,,214,,,
"1,021",11/22/2020,Chatham,,,,,12,,39,,17,,23,,,
"1,022",11/22/2020,Cherokee,,,,,,,29,,1,,11,,,
"1,023",11/22/2020,Chowan,,,,,,,31,,13,,2,,6,1
"1,024",11/22/2020,Clay,,,,,,,6,,,,7,,,
"1,025",11/22/2020,Cleveland,,,,,,,186,3,33,2,12,,44,
"1,026",11/22/2020,Columbus,,,,,,,103,3,15,,9,,109,
"1,027",11/22/2020,Craven,,,,,28,,128,3,3,,37,,,
"1,028",11/22/2020,Cumberland,12,,12,,197,2,240,,80,2,69,,,
"1,029",11/22/2020,Currituck,,,,,,,28,3,1,,5,,7,
"1,030",11/22/2020,Dare,,,,,,,51,,,,4,,3,
"1,031",11/22/2020,Davidson,,,1,,28,1,279,8,20,,77,,,
"1,032",11/22/2020,Davie,,,,,,,98,,15,,2,,8,1
"1,033",11/22/2020,Duplin,,,,,16,,85,3,21,,4,,,
"1,034",11/22/2020,Durham,,,14,,172,,156,,93,,104,,,
"1,035",11/22/2020,Edgecombe,,,,,53,,,,14,,2,,50,4
"1,036",11/22/2020,Forsyth,,,18,,235,4,522,11,142,1,166,,,
"1,037",11/22/2020,Franklin,,,1,,21,,84,,20,,24,,,
"1,038",11/22/2020,Gaston,5,,6,,94,,415,6,48,,105,,,
"1,039",11/22/2020,Gates,,,,,,,9,,2,,4,,7,2
"1,040",11/22/2020,Graham,,,,,,,8,,,,,,,
"1,041",11/22/2020,Granville,2,,1,,54,,54,,9,,14,,,
"1,042",11/22/2020,Greene,,,,,,,26,,14,,1,,3,
"1,043",11/22/2020,Guilford,1,,39,1,324,3,537,12,114,,216,,,
"1,044",11/22/2020,Halifax,,,,,44,,,,13,,20,,41,1
"1,045",11/22/2020,Harnett,3,,2,,50,,186,,17,,14,,,2
"1,046",11/22/2020,Haywood,,,,,,,121,4,5,,35,5,1,
"1,047",11/22/2020,Henderson,1,,3,,5,,157,,2,,22,,,2
"1,048",11/22/2020,Hertford,,,,,15,,,,9,,4,,17,1
"1,049",11/22/2020,Hoke,5,,2,,27,,27,,15,,27,,,1
"1,050",11/22/2020,Hyde,,,,,,,4,,,,,,1,
"1,051",11/22/2020,Iredell,1,,1,,42,2,226,4,25,1,231,2,,
"1,052",11/22/2020,Jackson,12,,,,2,,47,,6,,18,,,2
"1,053",11/22/2020,Johnston,4,,2,,72,1,340,4,29,,39,,,
"1,054",11/22/2020,Jones,,,,,,,8,,1,,2,,11,
"1,055",11/22/2020,Lee,,,1,,25,,69,,16,,13,,,2
"1,056",11/22/2020,Lenoir,,,,,,,107,5,20,,30,,51,
"1,057",11/22/2020,Lincoln,,,,,,,167,3,21,,53,,9,
"1,058",11/22/2020,Macon,,,,,,,13,,1,,22,,,1
"1,059",11/22/2020,Madison,,,,,,,26,,5,,25,,,1
"1,060",11/22/2020,Martin,,,,,,,32,,8,,4,,17,1
"1,061",11/22/2020,McDowell,,,,,,,144,,7,,10,,,1
"1,062",11/22/2020,Mecklenburg,33,,89,2,551,9,"1,095",7,251,6,391,,,
"1,063",11/22/2020,Mitchell,,,,,,,42,,,,3,,1,1
"1,064",11/22/2020,Montgomery,,,,,,,44,,7,,6,,5,1
"1,065",11/22/2020,Moore,1,,4,,19,,141,,17,,32,,,
"1,066",11/22/2020,Nash,,,,,55,,126,,11,,26,,,1
"1,067",11/22/2020,New Hanover,2,,4,,56,1,317,6,41,1,34,,,
"1,068",11/22/2020,Northampton,,,,,18,,,,7,,7,,13,1
"1,069",11/22/2020,Onslow,5,,6,,107,,428,8,50,,77,,,
"1,070",11/22/2020,Orange,1,,7,,31,,107,,28,,26,,,
"1,071",11/22/2020,Pamlico,,,,,,,14,,,,2,,3,
"1,072",11/22/2020,Pasquotank,,,,,,,41,,4,,8,,19,1
"1,073",11/22/2020,Pender,,,,,7,,55,,4,,17,,,2
"1,074",11/22/2020,Perquimans,,,,,,,20,,9,,1,,3,1
"1,075",11/22/2020,Person,,,,,,,46,,17,,4,,33,1
"1,076",11/22/2020,Pitt,10,,1,,63,,288,,64,,33,,,1
"1,077",11/22/2020,Polk,,,,,,,19,,1,,2,,1,
"1,078",11/22/2020,Randolph,2,,3,,23,,355,18,14,1,6,,,
"1,079",11/22/2020,Richmond,3,,,,14,,46,3,14,,2,,,
"1,080",11/22/2020,Robeson,92,3,,,58,,55,2,52,2,20,,,
"1,081",11/22/2020,Rockingham,1,,,,27,,155,,15,,22,,,
"1,082",11/22/2020,Rowan,2,,2,,58,4,302,9,27,,53,1,,
"1,083",11/22/2020,Rutherford,,,,,,,166,6,21,,39,1,17,3
"1,084",11/22/2020,Sampson,,,,,44,,87,3,33,1,30,1,,
"1,085",11/22/2020,Scotland,,,,,,,56,,3,,,,47,1
"1,086",11/22/2020,Stanly,,,,,,,139,,6,,7,,16,
"1,087",11/22/2020,Stokes,,,,,,,94,,6,,15,,2,1
"1,088",11/22/2020,Surry,,,,,,,150,3,15,,22,,10,2
"1,089",11/22/2020,Swain,,,,,,,27,,,,4,,7,
"1,090",11/22/2020,Transylvania,,,,,,,43,,1,,3,,2,1
"1,091",11/22/2020,Union,6,,7,,55,,408,,43,,74,,,
"1,092",11/22/2020,Vance,,,,,45,,,,14,,8,,84,2
"1,093",11/22/2020,Wake,1,,50,,348,2,"1,097",9,319,2,239,2,,
"1,094",11/22/2020,Warren,,,,,18,,,,1,,71,,10,
"1,095",11/22/2020,Washington,,,,,3,,,,7,,1,,8,
"1,096",11/22/2020,Watauga,,,,,,,79,,,,30,,1,
"1,097",11/22/2020,Wayne,,,1,,43,2,133,8,23,,105,1,,
"1,098",11/22/2020,Wilkes,,,,,,,180,9,11,,24,1,11,
"1,099",11/22/2020,Wilson,,,4,1,50,1,164,3,9,,9,,,
"1,100",11/22/2020,Yadkin,,,,,,,99,3,35,1,24,,,
"1,101",11/22/2020,Yancey,,,,,,,47,,,,16,,,1
"1,102",11/15/2020,Alamance,,,11,,81,,311,2,68,1,105,,,
"1,103",11/15/2020,Alexander,,,,,,,103,,4,,39,,7,
"1,104",11/15/2020,Alleghany,,,,,,,11,,5,,2,,,
"1,105",11/15/2020,Anson,,,,,21,,,,3,,8,,14,1
"1,106",11/15/2020,Ashe,,,,,,,64,,7,,31,,1,1
"1,107",11/15/2020,Avery,,,,,,,64,,2,,14,,1,
"1,108",11/15/2020,Beaufort,,,,,,,49,,15,,8,,12,1
"1,109",11/15/2020,Bertie,,,,,7,,,,11,,8,,22,1
"1,110",11/15/2020,Bladen,,,,,,,45,,8,,6,,17,2
"1,111",11/15/2020,Brunswick,3,,1,,26,2,177,2,7,,14,,,
"1,112",11/15/2020,Buncombe,,,7,,30,,302,3,16,,55,,,
"1,113",11/15/2020,Burke,,,8,,17,,211,4,16,,78,1,,
"1,114",11/15/2020,Cabarrus,7,,15,,96,4,292,5,87,2,86,,,
"1,115",11/15/2020,Caldwell,,,3,,7,1,192,2,4,,38,,,
"1,116",11/15/2020,Camden,,,,,,,8,,1,,1,,3,
"1,117",11/15/2020,Carteret,,,,,,,115,,2,,36,,5,
"1,118",11/15/2020,Caswell,,,,,,,31,,4,,8,,18,2
"1,119",11/15/2020,Catawba,2,,17,,33,1,373,17,15,1,208,1,,
"1,120",11/15/2020,Chatham,,,1,,11,,40,,23,,23,,,
"1,121",11/15/2020,Cherokee,,,,,,,19,,1,,13,,1,
"1,122",11/15/2020,Chowan,,,,,,,10,,1,,,,5,
"1,123",11/15/2020,Clay,,,,,,,,,,,5,,,
"1,124",11/15/2020,Cleveland,,,,,,,188,2,23,,30,,55,2
"1,125",11/15/2020,Columbus,,,,,,,161,3,12,,13,,83,
"1,126",11/15/2020,Craven,,,2,,25,1,150,2,13,1,60,,,
"1,127",11/15/2020,Cumberland,5,,9,,236,2,232,,89,1,66,1,,
"1,128",11/15/2020,Currituck,,,,,,,11,,,,5,,,
"1,129",11/15/2020,Dare,,,,,,,45,,1,,5,,,1
"1,130",11/15/2020,Davidson,,,4,,28,,272,3,34,,118,1,,
"1,131",11/15/2020,Davie,,,,,,,96,,18,,5,,8,
"1,132",11/15/2020,Duplin,,,1,,19,,149,,16,,,,,
"1,133",11/15/2020,Durham,1,,16,,171,1,185,3,99,,96,,,
"1,134",11/15/2020,Edgecombe,,,,,52,,,,13,,13,,52,2
"1,135",11/15/2020,Forsyth,4,,17,,234,2,601,1,179,,138,,,
"1,136",11/15/2020,Franklin,1,,,,31,,88,,19,,29,,,
"1,137",11/15/2020,Gaston,5,,5,,69,1,405,7,54,,111,,,
"1,138",11/15/2020,Gates,,,,,,,3,,2,,1,,5,
"1,139",11/15/2020,Graham,,,,,,,2,,,,1,,,
"1,140",11/15/2020,Granville,,,,,42,,79,,10,,20,,,2
"1,141",11/15/2020,Greene,,,,,,,30,,8,,1,,11,1
"1,142",11/15/2020,Guilford,2,,29,,354,6,554,7,127,4,260,,,
"1,143",11/15/2020,Halifax,,,,,56,,,,23,,9,,50,
"1,144",11/15/2020,Harnett,2,,,,61,,170,,29,,18,,,2
"1,145",11/15/2020,Haywood,,,,,,,139,7,4,,25,1,3,
"1,146",11/15/2020,Henderson,1,,,,2,,164,3,3,,11,,,
"1,147",11/15/2020,Hertford,,,,,12,,,,4,,6,,24,1
"1,148",11/15/2020,Hoke,5,,1,,27,,32,,19,,19,,,1
"1,149",11/15/2020,Hyde,,,,,,,,,,,,,1,
"1,150",11/15/2020,Iredell,1,,5,,36,2,228,3,66,5,222,2,,
"1,151",11/15/2020,Jackson,5,,,,2,,38,,6,,16,,,
"1,152",11/15/2020,Johnston,3,,5,,98,3,325,3,41,,85,1,,
"1,153",11/15/2020,Jones,,,,,,,17,,2,,4,,6,
"1,154",11/15/2020,Lee,,,,,13,,66,,14,,12,,,1
"1,155",11/15/2020,Lenoir,,,,,,,106,3,17,,22,,50,1
"1,156",11/15/2020,Lincoln,,,,,,,194,,19,,58,,25,1
"1,157",11/15/2020,Macon,,,,,,,10,,3,,42,,,1
"1,158",11/15/2020,Madison,,,,,,,33,,3,,37,,4,
"1,159",11/15/2020,Martin,,,,,,,21,,7,,3,,12,1
"1,160",11/15/2020,McDowell,,,,,,,139,,2,,12,,5,2
"1,161",11/15/2020,Mecklenburg,37,,87,,638,8,"1,232",9,291,2,390,4,,
"1,162",11/15/2020,Mitchell,,,,,,,47,,,,6,,1,2
"1,163",11/15/2020,Montgomery,,,,,,,43,,9,,5,,5,1
"1,164",11/15/2020,Moore,5,,,,18,,114,,15,,29,,,2
"1,165",11/15/2020,Nash,2,,,,87,1,122,2,7,,20,,,
"1,166",11/15/2020,New Hanover,,,5,,50,,307,5,27,1,35,,,
"1,167",11/15/2020,Northampton,,,,,35,,,,12,,18,,34,1
"1,168",11/15/2020,Onslow,,,14,,99,,390,,74,,56,,,2
"1,169",11/15/2020,Orange,,,8,,30,,104,,34,,24,,,2
"1,170",11/15/2020,Pamlico,,,,,,,23,,2,,5,,4,2
"1,171",11/15/2020,Pasquotank,,,,,,,37,,5,,10,,8,1
"1,172",11/15/2020,Pender,,,1,,43,,105,,12,,31,,,
"1,173",11/15/2020,Perquimans,,,,,,,20,,1,,2,,4,
"1,174",11/15/2020,Person,,,,,,,43,,10,,5,,19,2
"1,175",11/15/2020,Pitt,5,,,,66,5,262,1,77,,34,1,,
"1,176",11/15/2020,Polk,,,,,,,21,,1,,5,,1,
"1,177",11/15/2020,Randolph,,,1,,8,,358,5,13,,8,,,
"1,178",11/15/2020,Richmond,,,,,36,,50,,31,,4,,,2
"1,179",11/15/2020,Robeson,142,1,3,,72,1,67,1,36,1,32,,,
"1,180",11/15/2020,Rockingham,,,3,,18,,205,,19,,20,,,1
"1,181",11/15/2020,Rowan,4,,1,,57,1,271,1,37,1,73,,,
"1,182",11/15/2020,Rutherford,,,,,,,158,2,11,,45,1,11,
"1,183",11/15/2020,Sampson,1,,1,,17,,85,,31,,38,,,2
"1,184",11/15/2020,Scotland,,,,,,,50,3,3,,4,,48,
"1,185",11/15/2020,Stanly,,,,,,,122,,4,,2,,17,2
"1,186",11/15/2020,Stokes,,,,,,,103,,5,,16,,3,
"1,187",11/15/2020,Surry,,,,,,,194,,19,,17,,10,2
"1,188",11/15/2020,Swain,,,,,,,20,,,,3,,4,
"1,189",11/15/2020,Transylvania,,,,,,,29,,1,,3,,4,
"1,190",11/15/2020,Tyrrell,,,,,,,3,,,,1,,1,
"1,191",11/15/2020,Union,6,,6,,52,2,319,3,57,,38,,,
"1,192",11/15/2020,Vance,,,,,70,1,,,15,,12,,74,4
"1,193",11/15/2020,Wake,9,,39,,372,2,964,4,260,,264,,,
"1,194",11/15/2020,Warren,,,,,32,,,,4,,1,,16,1
"1,195",11/15/2020,Washington,,,,,5,,,,4,,,,3,
"1,196",11/15/2020,Watauga,,,,,,,111,,4,,49,,3,
"1,197",11/15/2020,Wayne,,,2,,49,1,138,4,35,,81,1,,
"1,198",11/15/2020,Wilkes,,,,,,,176,,8,,38,,15,2
"1,199",11/15/2020,Wilson,1,,,,65,3,131,5,8,,10,,,
"1,200",11/15/2020,Yadkin,,,,,,,91,3,23,,17,,6,
"1,201",11/15/2020,Yancey,,,,,,,60,,1,,5,,,2
"1,202",11/8/2020,Alamance,,,2,,48,,286,,42,,103,,,2
"1,203",11/8/2020,Alexander,,,,,,,123,5,6,,40,1,23,
"1,204",11/8/2020,Alleghany,,,,,,,22,,,,2,,1,
"1,205",11/8/2020,Anson,,,,,15,1,,,4,,11,1,27,1
"1,206",11/8/2020,Ashe,,,,,,,77,,1,,18,,,2
"1,207",11/8/2020,Avery,,,,,,,62,,3,,17,,3,
"1,208",11/8/2020,Beaufort,,,,,,,34,,10,,9,,4,
"1,209",11/8/2020,Bertie,,,,,15,,,,10,,10,,21,2
"1,210",11/8/2020,Bladen,,,,,,,28,,11,,6,,25,
"1,211",11/8/2020,Brunswick,1,,2,,13,1,174,1,7,1,15,,,
"1,212",11/8/2020,Buncombe,1,,2,,23,,284,4,18,,49,,,
"1,213",11/8/2020,Burke,,,7,,6,,162,,6,,71,,,1
"1,214",11/8/2020,Cabarrus,7,,12,,61,,278,6,95,1,50,,,
"1,215",11/8/2020,Caldwell,,,1,,5,,177,,4,,27,,,1
"1,216",11/8/2020,Camden,,,,,,,11,,2,,1,,1,
"1,217",11/8/2020,Carteret,,,,,,,71,,,,28,,6,1
"1,218",11/8/2020,Caswell,,,,,,,36,,2,,7,,6,
"1,219",11/8/2020,Catawba,,,28,,37,3,359,13,17,,173,,,
"1,220",11/8/2020,Chatham,,,1,,12,,42,,27,,26,,,
"1,221",11/8/2020,Cherokee,,,,,,,11,,2,,24,,,
"1,222",11/8/2020,Chowan,,,,,,,9,,7,,1,,5,
"1,223",11/8/2020,Clay,,,,,,,,,,,10,,,
"1,224",11/8/2020,Cleveland,,,,,,,141,5,25,,15,,54,3
"1,225",11/8/2020,Columbus,,,,,,,156,,11,,10,,110,1
"1,226",11/8/2020,Craven,,,4,,23,,104,,11,,28,,,2
"1,227",11/8/2020,Cumberland,7,,10,,224,2,215,1,77,,63,,,
"1,228",11/8/2020,Currituck,,,,,,,25,,2,,8,,,
"1,229",11/8/2020,Dare,,,,,,,77,,5,,9,,2,1
"1,230",11/8/2020,Davidson,,,6,,38,1,196,1,33,,88,1,,
"1,231",11/8/2020,Davie,,,,,,,92,,21,,12,,4,
"1,232",11/8/2020,Duplin,1,,,,28,,121,,11,,,,,1
"1,233",11/8/2020,Durham,,,14,,185,,184,11,106,,64,,,
"1,234",11/8/2020,Edgecombe,,,,,38,,,,6,,4,,62,1
"1,235",11/8/2020,Forsyth,,,10,,205,3,622,8,175,1,116,,,
"1,236",11/8/2020,Franklin,,,1,,19,,61,,9,,21,,,
"1,237",11/8/2020,Gaston,5,,3,,109,5,399,6,45,,114,,,
"1,238",11/8/2020,Gates,,,,,,,7,,,,,,4,2
"1,239",11/8/2020,Graham,,,,,,,3,,,,,,,
"1,240",11/8/2020,Granville,2,,,,31,1,51,1,11,1,15,,,
"1,241",11/8/2020,Greene,,,,,,,31,1,14,,6,,25,2
"1,242",11/8/2020,Guilford,3,,48,,448,5,561,7,135,3,208,,,
"1,243",11/8/2020,Halifax,,,,,43,,,,19,,12,,55,
"1,244",11/8/2020,Harnett,2,,3,,43,,160,,16,,6,,,1
"1,245",11/8/2020,Haywood,,,,,,,76,,5,,12,,4,2
"1,246",11/8/2020,Henderson,,,3,,9,1,148,3,7,,16,,,
"1,247",11/8/2020,Hertford,,,,,14,,,,2,,1,,16,1
"1,248",11/8/2020,Hoke,4,,,,27,,28,,13,,36,,,1
"1,249",11/8/2020,Hyde,,,,,,,,,,,,,1,
"1,250",11/8/2020,Iredell,1,,6,,32,,249,5,25,4,114,,,
"1,251",11/8/2020,Jackson,7,,,,1,,43,,3,,12,,,2
"1,252",11/8/2020,Johnston,2,,5,,73,,293,,50,,65,,,2
"1,253",11/8/2020,Jones,,,,,,,6,,,,3,,4,
"1,254",11/8/2020,Lee,,,1,,13,,46,,11,,12,,,1
"1,255",11/8/2020,Lenoir,,,,,,,108,2,15,,19,,46,1
"1,256",11/8/2020,Lincoln,,,,,,,131,,13,,46,,7,
"1,257",11/8/2020,Macon,,,,,,,21,,2,,29,,,
"1,258",11/8/2020,Madison,,,,,,,48,,2,,21,,1,1
"1,259",11/8/2020,Martin,,,,,,,25,,7,,2,,10,
"1,260",11/8/2020,McDowell,,,,,,,108,,3,,4,,6,
"1,261",11/8/2020,Mecklenburg,18,,90,,586,4,987,9,261,1,337,,,
"1,262",11/8/2020,Mitchell,,,,,,,77,5,1,,3,,2,
"1,263",11/8/2020,Montgomery,,,,,,,34,,5,,3,,3,2
"1,264",11/8/2020,Moore,4,,,,15,,115,,16,,15,,,
"1,265",11/8/2020,Nash,2,,,,46,,143,,11,,31,,,1
"1,266",11/8/2020,New Hanover,2,,5,,67,,281,5,30,,33,,,
"1,267",11/8/2020,Northampton,,,,,15,,,,5,,7,,16,
"1,268",11/8/2020,Onslow,2,,13,,77,2,352,4,44,1,35,,,
"1,269",11/8/2020,Orange,1,,4,,44,,110,,27,,14,,,
"1,270",11/8/2020,Pamlico,,,,,,,16,,,,1,,2,
"1,271",11/8/2020,Pasquotank,,,,,,,37,,3,,1,,18,
"1,272",11/8/2020,Pender,1,,1,,14,,87,,6,,4,,,
"1,273",11/8/2020,Perquimans,,,,,,,18,,3,,,,6,
"1,274",11/8/2020,Person,,,,,,,41,,7,,3,,14,2
"1,275",11/8/2020,Pitt,5,,,,67,,212,,77,,34,,,2
"1,276",11/8/2020,Polk,,,,,,,14,,,,7,,2,
"1,277",11/8/2020,Randolph,1,,1,,19,,343,9,13,,3,,,
"1,278",11/8/2020,Richmond,,,3,,36,,43,,37,,,,,2
"1,279",11/8/2020,Robeson,101,2,,,40,1,73,1,33,,33,,,
"1,280",11/8/2020,Rockingham,,,1,,27,,156,,25,,14,,,1
"1,281",11/8/2020,Rowan,2,,2,,68,,239,6,37,,32,,,
"1,282",11/8/2020,Rutherford,,,,,,,120,3,11,,38,,10,1
"1,283",11/8/2020,Sampson,,,1,,50,2,105,7,28,1,35,,,
"1,284",11/8/2020,Scotland,,,,,,,24,,1,,1,,26,2
"1,285",11/8/2020,Stanly,,,,,,,114,,4,,4,,15,1
"1,286",11/8/2020,Stokes,,,,,,,107,5,7,1,14,,5,
"1,287",11/8/2020,Surry,,,,,,,153,2,12,,18,,7,1
"1,288",11/8/2020,Swain,,,,,,,14,,2,,1,,6,1
"1,289",11/8/2020,Transylvania,,,,,,,25,,3,,1,,,
"1,290",11/8/2020,Tyrrell,,,,,,,,,,,,,2,
"1,291",11/8/2020,Union,6,,2,,46,1,324,7,37,,60,,,
"1,292",11/8/2020,Vance,,,,,71,2,,,4,,11,,56,3
"1,293",11/8/2020,Wake,6,,35,1,416,4,866,10,290,,233,,,
"1,294",11/8/2020,Warren,,,,,21,,,,,,1,,7,
"1,295",11/8/2020,Washington,,,,,6,,,,1,,1,,6,
"1,296",11/8/2020,Watauga,,,,,,,106,,2,,39,,5,
"1,297",11/8/2020,Wayne,1,,,,34,,72,,8,,101,,,2
"1,298",11/8/2020,Wilkes,,,,,,,193,4,9,,31,,10,
"1,299",11/8/2020,Wilson,,,1,,83,2,125,3,11,,6,,,
"1,300",11/8/2020,Yadkin,,,,,,,64,,7,,20,,1,2
"1,301",11/8/2020,Yancey,,,,,,,55,,2,,6,,,
"1,302",11/1/2020,Alamance,,,5,1,41,1,200,1,20,,33,,,
"1,303",11/1/2020,Alexander,,,,,,,131,,1,,31,,33,2
"1,304",11/1/2020,Alleghany,,,,,,,28,,4,,3,,1,1
"1,305",11/1/2020,Anson,,,,,10,,,,1,,6,,23,
"1,306",11/1/2020,Ashe,,,,,,,48,,3,,21,,,1
"1,307",11/1/2020,Avery,,,,,,,58,3,3,,2,,1,
"1,308",11/1/2020,Beaufort,,,,,,,30,,6,,9,,4,
"1,309",11/1/2020,Bertie,,,,,9,,,,1,,2,,8,
"1,310",11/1/2020,Bladen,,,,,,,30,,1,,1,,9,
"1,311",11/1/2020,Brunswick,1,,1,,19,2,120,1,2,,8,,,
"1,312",11/1/2020,Buncombe,2,,1,,12,,165,5,18,1,22,,,
"1,313",11/1/2020,Burke,,,6,,5,,123,4,5,,48,,,
"1,314",11/1/2020,Cabarrus,3,,13,,51,,209,,68,,32,,,2
"1,315",11/1/2020,Caldwell,,,,,6,,126,,4,,22,,,1
"1,316",11/1/2020,Camden,,,,,,,5,,,,,,1,
"1,317",11/1/2020,Carteret,,,,,,,100,,3,,20,,8,2
"1,318",11/1/2020,Caswell,,,,,,,32,,,,4,,7,
"1,319",11/1/2020,Catawba,,,10,,23,2,279,6,19,,139,,,
"1,320",11/1/2020,Chatham,,,,,9,,42,,25,,17,,,
"1,321",11/1/2020,Cherokee,,,,,,,19,,1,,12,,,
"1,322",11/1/2020,Chowan,,,,,,,8,,3,,,,1,
"1,323",11/1/2020,Clay,,,,,,,3,,,,6,,,
"1,324",11/1/2020,Cleveland,,,,,,,126,5,31,2,14,,45,2
"1,325",11/1/2020,Columbus,,,,,,,72,,8,,5,,93,2
"1,326",11/1/2020,Craven,,,,,15,,67,,5,,15,,,2
"1,327",11/1/2020,Cumberland,5,,9,,139,,188,,67,,47,,,2
"1,328",11/1/2020,Currituck,,,,,,,22,,1,,5,,2,
"1,329",11/1/2020,Dare,,,,,,,44,,1,,4,,8,
"1,330",11/1/2020,Davidson,,,5,,19,,201,,25,,47,,,
"1,331",11/1/2020,Davie,,,,,,,55,,15,,11,,5,2
"1,332",11/1/2020,Duplin,,,,,13,,64,,7,,,,,
"1,333",11/1/2020,Durham,1,,9,,128,3,149,,108,,84,,,
"1,334",11/1/2020,Edgecombe,,,,,35,,,,18,,6,,36,2
"1,335",11/1/2020,Forsyth,,,10,,171,1,481,4,106,1,80,,,
"1,336",11/1/2020,Franklin,,,1,,37,,49,,10,,15,,,
"1,337",11/1/2020,Gaston,3,,3,,87,2,275,8,35,1,55,,,
"1,338",11/1/2020,Gates,,,,,,,5,,2,,,,2,
"1,339",11/1/2020,Graham,,,,,,,5,,1,,2,,1,
"1,340",11/1/2020,Granville,,,,,18,,72,,7,,11,,,1
"1,341",11/1/2020,Greene,,,,,,,25,2,14,1,2,,14,2
"1,342",11/1/2020,Guilford,3,,48,,348,4,451,10,96,,99,,,
"1,343",11/1/2020,Halifax,,,,,40,,,,12,,11,,38,2
"1,344",11/1/2020,Harnett,2,,1,,45,,127,,7,,11,,,1
"1,345",11/1/2020,Haywood,,,,,,,53,,,,10,,1,1
"1,346",11/1/2020,Henderson,,,,,3,,79,3,5,,12,,,
"1,347",11/1/2020,Hertford,,,,,14,,,,1,,2,,12,2
"1,348",11/1/2020,Hoke,6,,1,,20,,18,,8,,28,,,1
"1,349",11/1/2020,Hyde,,,,,,,,,,,,,2,
"1,350",11/1/2020,Iredell,1,,1,,43,,235,,23,,41,,,2
"1,351",11/1/2020,Jackson,7,,,,,,50,,6,,18,,,1
"1,352",11/1/2020,Johnston,3,,1,,43,1,234,2,28,,80,,,
"1,353",11/1/2020,Jones,,,,,,,7,,,,4,,3,
"1,354",11/1/2020,Lee,,,,,10,,27,,9,,11,,,
"1,355",11/1/2020,Lenoir,,,,,,,68,2,18,1,7,,37,2
"1,356",11/1/2020,Lincoln,,,,,,,115,,17,,67,,9,
"1,357",11/1/2020,Macon,,,,,,,18,,,,13,,,
"1,358",11/1/2020,Madison,,,,,,,28,,1,,10,,1,
"1,359",11/1/2020,Martin,,,,,,,9,,6,,,,9,
"1,360",11/1/2020,McDowell,,,,,,,73,,2,,5,,8,
"1,361",11/1/2020,Mecklenburg,16,,52,,461,4,785,12,227,1,255,,,
"1,362",11/1/2020,Mitchell,,,,,,,50,,,,2,,1,2
"1,363",11/1/2020,Montgomery,,,,,,,18,,,,2,,12,1
"1,364",11/1/2020,Moore,1,,1,,8,,76,,7,,8,,,1
"1,365",11/1/2020,Nash,3,,1,,62,,109,,20,,20,,,2
"1,366",11/1/2020,New Hanover,1,,4,,40,,229,,42,,34,,,2
"1,367",11/1/2020,Northampton,,,,,18,,,,7,,6,,18,1
"1,368",11/1/2020,Onslow,1,,8,,48,1,220,2,13,,22,,,
"1,369",11/1/2020,Orange,1,,3,,22,,84,,42,,12,,,
