,,,American Indian Alaskan Native,American Indian Alaskan Native,Asian or Pacific Islander,Asian or Pacific Islander,Black or African American,Black or African American,White,White,Other,Other,Missing,Missing,Suppressed,Suppressed
Index,Week of,County,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths
94,1/31/2021,Warren,,,,,18,,,,3,,14,,14,
95,1/31/2021,Washington,,,,,6,,,,6,,38,,14,
96,1/31/2021,Watauga,,,,,,,70,,5,,26,,2,
97,1/31/2021,Wayne,,,,,41,,61,,7,,80,,,
98,1/31/2021,Wilkes,,,,,,,153,,6,,45,,5,
99,1/31/2021,Wilson,1,,,,47,,87,,13,,40,,,
100,1/31/2021,Yadkin,,,,,,,57,,8,,21,,,
101,1/31/2021,Yancey,,,,,,,9,,1,,6,,,
102,1/24/2021,Alamance,3,,2,,102,,223,,88,,109,,,
103,1/24/2021,Alexander,,,,,,,45,,13,,45,,2,
104,1/24/2021,Alleghany,,,,,,,17,,4,,4,,,
105,1/24/2021,Anson,,,,,31,,,,1,,10,,51,2
106,1/24/2021,Ashe,,,,,,,20,,1,,20,,,
107,1/24/2021,Avery,,,,,,,16,,3,,4,,1,
108,1/24/2021,Beaufort,,,,,,,64,,6,,47,,17,
109,1/24/2021,Bertie,,,,,9,,,,9,,8,,19,
110,1/24/2021,Bladen,,,,,,,66,,26,,16,,45,
111,1/24/2021,Brunswick,3,,2,,51,,272,3,13,,64,,,
112,1/24/2021,Buncombe,1,,8,,42,,319,,54,,155,,,
113,1/24/2021,Burke,1,,8,,10,,195,,17,,77,,,
114,1/24/2021,Cabarrus,19,,22,,101,,332,,65,,211,,,
115,1/24/2021,Caldwell,,,,,4,,177,,5,,39,,,
116,1/24/2021,Camden,,,,,,,8,,1,,14,,5,
117,1/24/2021,Carteret,,,,,,,116,,4,,55,,11,1
118,1/24/2021,Caswell,,,,,,,31,,9,,14,,24,1
119,1/24/2021,Catawba,,,20,,26,,276,,62,,226,,,1
120,1/24/2021,Chatham,,,2,,28,,71,,18,,54,,,
121,1/24/2021,Cherokee,,,,,,,48,,1,,51,,4,
122,1/24/2021,Chowan,,,,,,,29,,11,,7,,10,
123,1/24/2021,Clay,,,,,,,2,,,,15,,,
124,1/24/2021,Cleveland,,,,,,,179,,35,,40,,56,1
125,1/24/2021,Columbus,,,,,,,100,2,5,,30,,81,2
126,1/24/2021,Craven,1,,11,,56,,154,,12,,99,,,
127,1/24/2021,Cumberland,7,,17,,282,,304,4,148,2,391,1,,
128,1/24/2021,Currituck,,,,,,,50,,1,,16,,5,
129,1/24/2021,Dare,,,,,,,68,,2,,8,,9,
130,1/24/2021,Davidson,1,,6,,52,1,364,1,66,,180,1,,
131,1/24/2021,Davie,,,,,,,117,,28,,19,,6,2
132,1/24/2021,Duplin,,,,,22,,115,,2,,5,,,1
133,1/24/2021,Durham,1,,21,,228,,174,,226,,116,,,1
134,1/24/2021,Edgecombe,,,,,50,,,,19,,21,,57,
135,1/24/2021,Forsyth,2,,21,,243,,565,,170,,185,,,1
136,1/24/2021,Franklin,,,2,,37,,94,,23,,30,,,
137,1/24/2021,Gaston,10,,10,,76,,418,,72,,220,,,2
138,1/24/2021,Gates,,,,,,,13,,12,,8,,5,
139,1/24/2021,Graham,,,,,,,9,,,,1,,,
140,1/24/2021,Granville,,,,,52,,48,,11,,57,,,1
141,1/24/2021,Greene,,,,,,,47,,11,,9,,8,
142,1/24/2021,Guilford,2,,49,,489,2,595,5,201,,333,,,
143,1/24/2021,Halifax,,,,,70,,,,19,,83,,60,1
144,1/24/2021,Harnett,4,,,,74,,176,,31,,87,,,
145,1/24/2021,Haywood,,,,,,,41,,7,,122,,1,
146,1/24/2021,Henderson,,,2,,6,,187,,15,,76,,,
147,1/24/2021,Hertford,,,,,13,,,,5,,14,,19,
148,1/24/2021,Hoke,12,,2,,27,,39,,50,,22,,,
149,1/24/2021,Hyde,,,,,,,6,,,,9,,,
150,1/24/2021,Iredell,2,,6,,63,,400,3,76,,228,,,
151,1/24/2021,Jackson,9,,1,,,,45,,10,,49,,,
152,1/24/2021,Johnston,1,,2,,76,,251,,88,,118,,,2
153,1/24/2021,Jones,,,,,,,13,,1,,16,,3,
154,1/24/2021,Lee,2,,4,1,18,,81,1,20,1,54,2,,
155,1/24/2021,Lenoir,,,,,,,129,,25,,24,,53,
156,1/24/2021,Lincoln,,,,,,,194,,93,,69,,28,1
157,1/24/2021,Macon,,,,,,,40,,2,,70,,,
158,1/24/2021,Madison,,,,,,,41,,8,,5,,,
159,1/24/2021,Martin,,,,,,,24,,11,,9,,11,
160,1/24/2021,McDowell,,,,,,,132,,3,,23,,1,
161,1/24/2021,Mecklenburg,82,,106,,912,3,"1,154",3,517,,"1,076",,,
162,1/24/2021,Mitchell,,,,,,,13,,3,,6,,1,
163,1/24/2021,Montgomery,,,,,,,68,,12,,8,,11,1
164,1/24/2021,Moore,,,,,29,,169,,40,,67,,,2
165,1/24/2021,Nash,3,,5,,138,2,125,1,20,,207,,,
166,1/24/2021,New Hanover,,,7,,96,,491,,60,,171,,,2
167,1/24/2021,Northampton,,,,,19,,,,8,,22,,22,
168,1/24/2021,Onslow,3,,12,,76,1,332,3,63,,51,,,
169,1/24/2021,Orange,2,,20,,44,,203,,72,,23,,,1
170,1/24/2021,Pamlico,,,,,,,38,,1,,5,,3,
171,1/24/2021,Pasquotank,,,,,,,34,,14,,36,,48,
172,1/24/2021,Pender,2,,,,22,,113,,15,,45,,,1
173,1/24/2021,Perquimans,,,,,,,17,,2,,14,,3,
174,1/24/2021,Person,,,,,,,63,,4,,18,,30,
175,1/24/2021,Pitt,8,,1,,64,,388,,106,,65,,,
176,1/24/2021,Polk,,,,,,,29,,,,14,,5,1
177,1/24/2021,Randolph,1,,5,,31,1,338,2,45,,239,,,
178,1/24/2021,Richmond,1,,1,,49,,76,,50,,5,,,
179,1/24/2021,Robeson,114,,2,,80,,111,,64,,117,,,1
180,1/24/2021,Rockingham,,,5,,46,,134,,15,,18,,,
181,1/24/2021,Rowan,8,,9,,98,,325,2,40,1,187,,,
182,1/24/2021,Rutherford,,,,,,,134,,16,,26,,13,2
183,1/24/2021,Sampson,,,1,,32,,81,,12,,35,,,
184,1/24/2021,Scotland,,,,,,,26,,4,,1,,45,2
185,1/24/2021,Stanly,,,,,,,215,,4,,2,,24,
186,1/24/2021,Stokes,,,,,,,100,,11,,41,,13,
187,1/24/2021,Surry,,,,,,,134,,26,,113,,7,1
188,1/24/2021,Swain,,,,,,,14,,,,10,,11,
189,1/24/2021,Transylvania,,,,,,,59,,26,,25,,3,1
190,1/24/2021,Tyrrell,,,,,,,7,,,,5,,1,
191,1/24/2021,Union,14,,18,,87,2,424,1,65,,222,,,
192,1/24/2021,Vance,,,,,59,,,,23,,58,,37,
193,1/24/2021,Wake,4,,108,,580,,"1,508",,602,,694,,,2
194,1/24/2021,Warren,,,,,24,,,,5,,20,,15,
195,1/24/2021,Washington,,,,,16,,,,10,,29,,22,1
196,1/24/2021,Watauga,,,,,,,66,,5,,26,,3,
197,1/24/2021,Wayne,,,2,,69,,131,,17,,88,,,1
198,1/24/2021,Wilkes,,,,,,,198,,10,,50,,9,
199,1/24/2021,Wilson,,,3,,69,,110,,15,,24,,,
200,1/24/2021,Yadkin,,,,,,,72,,12,,37,,6,
201,1/24/2021,Yancey,,,,,,,12,,3,,14,,3,
202,1/17/2021,Alamance,,,4,,97,,281,,110,,109,,,2
203,1/17/2021,Alexander,,,,,,,44,,15,,49,,2,
204,1/17/2021,Alleghany,,,,,,,23,,6,,6,,,
205,1/17/2021,Anson,,,,,49,,,,9,,13,,61,2
206,1/17/2021,Ashe,,,,,,,30,,,,26,,,
207,1/17/2021,Avery,,,,,,,22,,14,,10,,2,
208,1/17/2021,Beaufort,,,,,,,107,,19,,62,,24,1
209,1/17/2021,Bertie,,,,,5,,,,11,,19,,20,1
210,1/17/2021,Bladen,,,,,,,47,,29,,20,,36,
211,1/17/2021,Brunswick,3,,,,33,,311,,19,,56,,,2
212,1/17/2021,Buncombe,2,,6,,54,,427,,61,,170,,,2
213,1/17/2021,Burke,1,,7,,26,,230,4,23,,72,,,
214,1/17/2021,Cabarrus,20,,14,,134,1,398,3,99,1,236,,,
215,1/17/2021,Caldwell,,,,,16,,222,,4,,79,,,
216,1/17/2021,Camden,,,,,,,8,,,,9,,1,
217,1/17/2021,Carteret,,,,,,,138,,7,,49,,9,1
218,1/17/2021,Caswell,,,,,,,45,,7,,19,,25,2
219,1/17/2021,Catawba,1,,18,,33,,310,4,102,,255,,,
220,1/17/2021,Chatham,,,,,19,,66,,27,,62,,,1
221,1/17/2021,Cherokee,,,,,,,47,,1,,36,,1,
222,1/17/2021,Chowan,,,,,,,47,,21,,16,,30,
223,1/17/2021,Clay,,,,,,,10,,2,,18,,,
224,1/17/2021,Cleveland,,,,,,,241,4,27,,71,,69,1
225,1/17/2021,Columbus,,,,,,,143,2,9,,44,,74,1
226,1/17/2021,Craven,,,18,,88,1,208,2,19,,110,,,
227,1/17/2021,Cumberland,6,1,17,,340,4,447,3,167,,335,1,,
228,1/17/2021,Currituck,,,,,,,50,,4,,19,,8,
229,1/17/2021,Dare,,,,,,,81,,3,,9,,7,
230,1/17/2021,Davidson,3,,10,,67,1,483,1,60,,228,1,,
231,1/17/2021,Davie,,,,,,,117,,33,,10,,7,2
232,1/17/2021,Duplin,,,2,,26,,122,,2,,,,,1
233,1/17/2021,Durham,1,,15,,206,2,201,1,257,,137,,,
234,1/17/2021,Edgecombe,,,,,32,,,,12,,17,,44,
235,1/17/2021,Forsyth,2,,24,,354,1,733,5,180,,271,,,
236,1/17/2021,Franklin,1,,2,,51,,160,,45,,52,,,
237,1/17/2021,Gaston,15,,7,,96,,491,4,87,,271,,,
238,1/17/2021,Gates,,,,,,,9,,3,,7,,2,
239,1/17/2021,Graham,,,,,,,16,,1,,3,,1,
240,1/17/2021,Granville,,,,,62,,66,,20,,51,,,1
241,1/17/2021,Greene,,,,,,,35,,12,,46,,19,
242,1/17/2021,Guilford,5,,59,,623,1,733,7,267,1,441,,,
243,1/17/2021,Halifax,,,,,84,,,,29,1,46,,103,2
244,1/17/2021,Harnett,1,,3,,100,,212,3,45,,99,,,
245,1/17/2021,Haywood,,,,,,,52,,10,,164,,3,2
246,1/17/2021,Henderson,,,,,7,,228,,21,,95,,,
247,1/17/2021,Hertford,,,,,14,,,,15,,16,,33,1
248,1/17/2021,Hoke,15,1,2,,30,1,42,,46,1,35,,,
249,1/17/2021,Hyde,,,,,,,3,,,,6,,1,
250,1/17/2021,Iredell,2,,6,,69,1,471,1,82,,284,2,,
251,1/17/2021,Jackson,10,,1,,1,,61,,4,,47,,,
252,1/17/2021,Johnston,1,,2,,102,2,335,8,122,,127,,,
253,1/17/2021,Jones,,,,,,,18,,2,,14,,11,
254,1/17/2021,Lee,,,1,,40,,109,,27,,71,,,1
255,1/17/2021,Lenoir,,,,,,,130,,19,,27,,51,1
256,1/17/2021,Lincoln,,,,,,,213,,89,,96,,8,
257,1/17/2021,Macon,,,,,,,44,,2,,78,,1,
258,1/17/2021,Madison,,,,,,,47,,26,,11,,1,
259,1/17/2021,Martin,,,,,,,40,,13,,13,,21,1
260,1/17/2021,McDowell,,,,,,,169,3,3,,24,,1,
261,1/17/2021,Mecklenburg,110,,147,,"1,111",4,"1,280",8,733,2,"1,198",1,,
262,1/17/2021,Mitchell,,,,,,,24,,1,,14,,,
263,1/17/2021,Montgomery,,,,,,,81,,21,,23,,22,1
264,1/17/2021,Moore,,,2,,53,,229,2,34,1,78,,,
265,1/17/2021,Nash,2,,3,,118,,148,,25,,130,,,2
266,1/17/2021,New Hanover,4,,7,,86,1,505,3,52,,166,1,,
267,1/17/2021,Northampton,,,,,24,,,,19,,29,,28,
268,1/17/2021,Onslow,3,,21,,98,2,446,1,75,,74,,,
269,1/17/2021,Orange,1,,12,,43,,195,,78,,25,,,2
270,1/17/2021,Pamlico,,,,,,,40,,4,,9,,3,1
271,1/17/2021,Pasquotank,,,,,,,39,,19,,45,,32,1
272,1/17/2021,Pender,1,,1,,33,1,112,3,12,,86,,,
273,1/17/2021,Perquimans,,,,,,,16,,3,,15,,7,
274,1/17/2021,Person,,,,,,,59,,19,,29,,74,1
275,1/17/2021,Pitt,10,,3,,133,,479,,105,,53,,,1
276,1/17/2021,Polk,,,,,,,36,,1,,19,,4,
277,1/17/2021,Randolph,1,,3,,27,,336,5,50,,205,,,
278,1/17/2021,Richmond,1,,,,45,,77,,61,,14,,,1
279,1/17/2021,Robeson,159,1,5,,78,,119,3,93,,111,,,
280,1/17/2021,Rockingham,1,,1,,56,,158,,27,,47,,,
281,1/17/2021,Rowan,2,,3,,121,,345,3,52,,136,,,
282,1/17/2021,Rutherford,,,,,,,144,2,17,,57,1,24,
283,1/17/2021,Sampson,2,,,,38,,85,,21,,38,,,1
284,1/17/2021,Scotland,,,,,,,43,,7,,,,57,1
285,1/17/2021,Stanly,,,,,,,244,,10,,1,,13,2
286,1/17/2021,Stokes,,,,,,,129,,9,,56,,9,1
287,1/17/2021,Surry,,,,,,,235,,23,,114,,18,2
288,1/17/2021,Swain,,,,,,,25,,1,,24,,12,1
289,1/17/2021,Transylvania,,,,,,,63,,13,,24,,8,
290,1/17/2021,Tyrrell,,,,,,,9,,,,7,,15,
291,1/17/2021,Union,25,,7,,85,1,562,6,118,1,273,,,
292,1/17/2021,Vance,,,,,48,,,,25,,78,,40,
293,1/17/2021,Wake,10,,119,,702,3,"1,702",8,778,1,725,3,,
294,1/17/2021,Warren,,,,,27,,,,7,,12,,15,
295,1/17/2021,Washington,,,,,17,,,,6,,23,,12,1
296,1/17/2021,Watauga,,,,,,,92,,8,,13,,4,
297,1/17/2021,Wayne,,,,,85,2,154,1,13,,117,,,
298,1/17/2021,Wilkes,,,,,,,187,,4,,68,,8,2
299,1/17/2021,Wilson,1,,2,,105,,125,,20,,48,,,1
300,1/17/2021,Yadkin,,,,,,,93,,17,,54,,7,1
301,1/17/2021,Yancey,,,,,,,13,,,,13,,,1
302,1/10/2021,Alamance,1,,4,,132,,336,,168,,183,,,2
303,1/10/2021,Alexander,,,,,,,54,,23,,72,,6,
304,1/10/2021,Alleghany,,,,,,,22,,6,,7,,,
305,1/10/2021,Anson,,,,,71,,,,9,,8,,63,2
306,1/10/2021,Ashe,,,,,,,84,,,,19,,1,1
307,1/10/2021,Avery,,,,,,,35,,9,,9,,,
308,1/10/2021,Beaufort,,,,,,,109,,21,,71,,21,
309,1/10/2021,Bertie,,,,,8,,,,15,,19,,30,1
310,1/10/2021,Bladen,,,,,,,83,,32,,16,,35,
311,1/10/2021,Brunswick,1,,1,,30,,352,7,23,1,67,,,
312,1/10/2021,Buncombe,5,,15,,50,1,591,6,100,2,278,1,,
313,1/10/2021,Burke,,,14,,19,,266,,27,,119,,,2
314,1/10/2021,Cabarrus,23,,26,,148,2,542,5,92,1,282,,,
315,1/10/2021,Caldwell,1,,2,,19,,255,,9,,117,,,2
316,1/10/2021,Camden,,,,,,,22,,2,,6,,,
317,1/10/2021,Carteret,,,,,,,87,,9,,102,,9,
318,1/10/2021,Caswell,,,,,,,58,1,17,,44,1,35,1
319,1/10/2021,Catawba,2,,30,,46,,398,6,102,2,339,1,,
320,1/10/2021,Chatham,,,,,21,,93,,40,,83,,,1
321,1/10/2021,Cherokee,,,,,,,50,,,,61,,1,
322,1/10/2021,Chowan,,,,,,,48,,18,,8,,13,
323,1/10/2021,Clay,,,,,,,15,,1,,25,,,1
324,1/10/2021,Cleveland,,,,,,,372,2,48,1,101,,90,
325,1/10/2021,Columbus,,,,,,,198,3,6,,70,,79,1
326,1/10/2021,Craven,,,15,,106,2,241,6,27,,105,1,,
327,1/10/2021,Cumberland,11,,24,1,414,6,561,12,207,1,319,2,,
328,1/10/2021,Currituck,,,,,,,62,,2,,40,,7,1
329,1/10/2021,Dare,,,,,,,127,,4,,20,,19,
330,1/10/2021,Davidson,4,,5,,86,1,566,3,65,,295,6,,
331,1/10/2021,Davie,,,,,,,130,,43,,14,,11,2
332,1/10/2021,Duplin,,,1,,60,4,136,5,8,,10,,,
333,1/10/2021,Durham,2,,18,,306,2,218,1,291,,163,,,
334,1/10/2021,Edgecombe,,,,,42,,,,23,,36,,85,1
335,1/10/2021,Forsyth,3,,20,,300,4,832,7,244,,287,1,,
336,1/10/2021,Franklin,,,,,55,,149,,45,,57,,,2
337,1/10/2021,Gaston,18,,13,,140,3,588,11,137,2,359,,,
338,1/10/2021,Gates,,,,,,,11,,20,,16,,7,
